"Plot Title: Tank 5"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444040, SEN S/N: 20444040)","Coupler Detached (LGR S/N: 20444040)","Coupler Attached (LGR S/N: 20444040)","Host Connected (LGR S/N: 20444040)","End Of File (LGR S/N: 20444040)"
1,05/10/19 10:30:00 AM,26.426
2,05/10/19 10:45:00 AM,26.475
3,05/10/19 11:00:00 AM,26.549
4,05/10/19 11:15:00 AM,26.598
5,05/10/19 11:30:00 AM,26.573
6,05/10/19 11:45:00 AM,26.549
7,05/10/19 12:00:00 PM,26.622
8,05/10/19 12:15:00 PM,26.646
9,05/10/19 12:30:00 PM,26.646
10,05/10/19 12:45:00 PM,26.671
11,05/10/19 01:00:00 PM,26.720
12,05/10/19 01:15:00 PM,26.744
13,05/10/19 01:30:00 PM,26.793
14,05/10/19 01:45:00 PM,26.842
15,05/10/19 02:00:00 PM,26.916
16,05/10/19 02:15:00 PM,26.891
17,05/10/19 02:30:00 PM,26.891
18,05/10/19 02:45:00 PM,26.867
19,05/10/19 03:00:00 PM,26.891
20,05/10/19 03:15:00 PM,26.891
21,05/10/19 03:30:00 PM,26.940
22,05/10/19 03:45:00 PM,26.965
23,05/10/19 04:00:00 PM,26.989
24,05/10/19 04:15:00 PM,26.940
25,05/10/19 04:30:00 PM,26.940
26,05/10/19 04:45:00 PM,27.014
27,05/10/19 05:00:00 PM,27.038
28,05/10/19 05:15:00 PM,27.014
29,05/10/19 05:30:00 PM,27.038
30,05/10/19 05:45:00 PM,27.063
31,05/10/19 06:00:00 PM,27.063
32,05/10/19 06:15:00 PM,27.038
33,05/10/19 06:30:00 PM,27.038
34,05/10/19 06:45:00 PM,26.916
35,05/10/19 07:00:00 PM,26.891
36,05/10/19 07:15:00 PM,26.891
37,05/10/19 07:30:00 PM,26.867
38,05/10/19 07:45:00 PM,26.842
39,05/10/19 08:00:00 PM,26.818
40,05/10/19 08:15:00 PM,26.744
41,05/10/19 08:30:00 PM,26.744
42,05/10/19 08:45:00 PM,26.671
43,05/10/19 09:00:00 PM,26.695
44,05/10/19 09:15:00 PM,26.671
45,05/10/19 09:30:00 PM,26.695
46,05/10/19 09:45:00 PM,26.744
47,05/10/19 10:00:00 PM,26.793
48,05/10/19 10:15:00 PM,26.744
49,05/10/19 10:30:00 PM,26.671
50,05/10/19 10:45:00 PM,26.671
51,05/10/19 11:00:00 PM,26.720
52,05/10/19 11:15:00 PM,26.720
53,05/10/19 11:30:00 PM,26.720
54,05/10/19 11:45:00 PM,26.598
55,05/11/19 12:00:00 AM,26.500
56,05/11/19 12:15:00 AM,26.524
57,05/11/19 12:30:00 AM,26.549
58,05/11/19 12:45:00 AM,26.549
59,05/11/19 01:00:00 AM,26.524
60,05/11/19 01:15:00 AM,26.500
61,05/11/19 01:30:00 AM,26.426
62,05/11/19 01:45:00 AM,26.378
63,05/11/19 02:00:00 AM,26.378
64,05/11/19 02:15:00 AM,26.353
65,05/11/19 02:30:00 AM,26.378
66,05/11/19 02:45:00 AM,26.353
67,05/11/19 03:00:00 AM,26.378
68,05/11/19 03:15:00 AM,26.426
69,05/11/19 03:30:00 AM,26.475
70,05/11/19 03:45:00 AM,26.475
71,05/11/19 04:00:00 AM,26.475
72,05/11/19 04:15:00 AM,26.475
73,05/11/19 04:30:00 AM,26.475
74,05/11/19 04:45:00 AM,26.475
75,05/11/19 05:00:00 AM,26.475
76,05/11/19 05:15:00 AM,26.500
77,05/11/19 05:30:00 AM,26.500
78,05/11/19 05:45:00 AM,26.475
79,05/11/19 06:00:00 AM,26.475
80,05/11/19 06:15:00 AM,26.500
81,05/11/19 06:30:00 AM,26.451
82,05/11/19 06:45:00 AM,26.451
83,05/11/19 07:00:00 AM,26.451
84,05/11/19 07:15:00 AM,26.475
85,05/11/19 07:30:00 AM,26.451
86,05/11/19 07:45:00 AM,26.475
87,05/11/19 08:00:00 AM,26.500
88,05/11/19 08:15:00 AM,26.598
89,05/11/19 08:30:00 AM,26.622
90,05/11/19 08:45:00 AM,26.622
91,05/11/19 09:00:00 AM,26.646
92,05/11/19 09:15:00 AM,26.671
93,05/11/19 09:30:00 AM,26.695
94,05/11/19 09:45:00 AM,26.720
95,05/11/19 10:00:00 AM,26.720
96,05/11/19 10:15:00 AM,26.744
97,05/11/19 10:30:00 AM,26.793
98,05/11/19 10:45:00 AM,26.818
99,05/11/19 11:00:00 AM,26.818
100,05/11/19 11:15:00 AM,26.867
101,05/11/19 11:30:00 AM,26.916
102,05/11/19 11:45:00 AM,26.965
103,05/11/19 12:00:00 PM,26.940
104,05/11/19 12:15:00 PM,26.965
