"Plot Title: Tank 5"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444040, SEN S/N: 20444040)","Coupler Detached (LGR S/N: 20444040)","Coupler Attached (LGR S/N: 20444040)","Host Connected (LGR S/N: 20444040)","End Of File (LGR S/N: 20444040)"
1,05/14/19 01:45:00 PM,28.196,Logged,,,
2,05/14/19 02:00:00 PM,28.295,,,,
3,05/14/19 02:15:00 PM,28.345,,,,
4,05/14/19 02:30:00 PM,28.369,,,,
5,05/14/19 02:45:00 PM,28.394,,,,
6,05/14/19 03:00:00 PM,28.419,,,,
7,05/14/19 03:15:00 PM,28.419,,,,
8,05/14/19 03:30:00 PM,28.468,,,,
9,05/14/19 03:45:00 PM,28.444,,,,
10,05/14/19 04:00:00 PM,28.419,,,,
11,05/14/19 04:15:00 PM,28.419,,,,
12,05/14/19 04:30:00 PM,28.419,,,,
13,05/14/19 04:45:00 PM,28.345,,,,
14,05/14/19 05:00:00 PM,28.345,,,,
15,05/14/19 05:15:00 PM,28.345,,,,
16,05/14/19 05:30:00 PM,28.320,,,,
17,05/14/19 05:45:00 PM,28.369,,,,
18,05/14/19 06:00:00 PM,28.444,,,,
19,05/14/19 06:15:00 PM,28.518,,,,
20,05/14/19 06:30:00 PM,28.518,,,,
21,05/14/19 06:45:00 PM,28.543,,,,
22,05/14/19 07:00:00 PM,28.543,,,,
23,05/14/19 07:15:00 PM,28.493,,,,
24,05/14/19 07:30:00 PM,28.493,,,,
25,05/14/19 07:45:00 PM,28.518,,,,
26,05/14/19 08:00:00 PM,28.468,,,,
27,05/14/19 08:15:00 PM,28.394,,,,
28,05/14/19 08:30:00 PM,28.394,,,,
29,05/14/19 08:45:00 PM,28.345,,,,
30,05/14/19 09:00:00 PM,28.295,,,,
31,05/14/19 09:15:00 PM,28.320,,,,
32,05/14/19 09:30:00 PM,28.270,,,,
33,05/14/19 09:45:00 PM,28.270,,,,
34,05/14/19 10:00:00 PM,28.295,,,,
35,05/14/19 10:15:00 PM,28.295,,,,
36,05/14/19 10:30:00 PM,28.270,,,,
37,05/14/19 10:45:00 PM,28.245,,,,
38,05/14/19 11:00:00 PM,28.245,,,,
39,05/14/19 11:15:00 PM,28.196,,,,
40,05/14/19 11:30:00 PM,28.171,,,,
41,05/14/19 11:45:00 PM,28.196,,,,
42,05/15/19 12:00:00 AM,28.196,,,,
43,05/15/19 12:15:00 AM,28.171,,,,
44,05/15/19 12:30:00 AM,28.171,,,,
45,05/15/19 12:45:00 AM,28.147,,,,
46,05/15/19 01:00:00 AM,28.122,,,,
47,05/15/19 01:15:00 AM,28.122,,,,
48,05/15/19 01:30:00 AM,28.097,,,,
49,05/15/19 01:45:00 AM,28.147,,,,
50,05/15/19 02:00:00 AM,28.147,,,,
51,05/15/19 02:15:00 AM,28.122,,,,
52,05/15/19 02:30:00 AM,28.122,,,,
53,05/15/19 02:45:00 AM,28.072,,,,
54,05/15/19 03:00:00 AM,28.122,,,,
55,05/15/19 03:15:00 AM,28.072,,,,
56,05/15/19 03:30:00 AM,28.097,,,,
57,05/15/19 03:45:00 AM,28.048,,,,
58,05/15/19 04:00:00 AM,28.048,,,,
59,05/15/19 04:15:00 AM,27.998,,,,
60,05/15/19 04:30:00 AM,28.023,,,,
61,05/15/19 04:45:00 AM,28.023,,,,
62,05/15/19 05:00:00 AM,27.974,,,,
63,05/15/19 05:15:00 AM,27.949,,,,
64,05/15/19 05:30:00 AM,27.924,,,,
65,05/15/19 05:45:00 AM,27.924,,,,
66,05/15/19 06:00:00 AM,27.875,,,,
67,05/15/19 06:15:00 AM,27.899,,,,
68,05/15/19 06:30:00 AM,27.875,,,,
69,05/15/19 06:45:00 AM,27.875,,,,
70,05/15/19 07:00:00 AM,27.875,,,,
71,05/15/19 07:15:00 AM,27.850,,,,
72,05/15/19 07:30:00 AM,27.875,,,,
73,05/15/19 07:45:00 AM,27.850,,,,
74,05/15/19 08:00:00 AM,27.875,,,,
75,05/15/19 08:15:00 AM,27.850,,,,
76,05/15/19 08:30:00 AM,27.850,,,,
77,05/15/19 08:45:00 AM,27.875,,,,
78,05/15/19 09:00:00 AM,27.899,,,,
79,05/15/19 09:15:00 AM,27.974,,,,
80,05/15/19 09:30:00 AM,27.998,,,,
81,05/15/19 09:45:00 AM,28.048,,,,
82,05/15/19 10:00:00 AM,28.023,,,,
83,05/15/19 10:15:00 AM,28.048,,,,
84,05/15/19 10:30:00 AM,28.072,,,,
85,05/15/19 10:45:00 AM,28.072,,,,
86,05/15/19 11:00:00 AM,28.072,,,,
87,05/15/19 11:15:00 AM,28.097,,,,
88,05/15/19 11:30:00 AM,28.122,,,,
89,05/15/19 11:45:00 AM,28.097,,,,
90,05/15/19 12:00:00 PM,28.072,,,,
91,05/15/19 12:15:00 PM,28.072,,,,
92,05/15/19 12:30:00 PM,28.122,,,,
93,05/15/19 12:45:00 PM,28.097,,,,
94,05/15/19 01:00:00 PM,28.072,,,,
95,05/15/19 01:15:00 PM,28.072,,,,
96,05/15/19 01:30:00 PM,28.270,,,,
97,05/15/19 01:30:42 PM,,,Logged,,
98,05/15/19 01:30:46 PM,,,,Logged,
99,05/15/19 01:31:56 PM,,Logged,,,
100,05/15/19 01:45:00 PM,28.320,,,,
101,05/15/19 02:00:00 PM,28.345,,,,
102,05/15/19 02:15:00 PM,28.270,,,,
103,05/15/19 02:30:00 PM,28.692,,,,
104,05/15/19 02:45:00 PM,28.841,,,,
105,05/15/19 03:00:00 PM,28.866,,,,
106,05/15/19 03:15:00 PM,28.866,,,,
107,05/15/19 03:30:00 PM,28.866,,,,
108,05/15/19 03:45:00 PM,28.891,,,,
109,05/15/19 04:00:00 PM,28.841,,,,
110,05/15/19 04:15:00 PM,28.841,,,,
111,05/15/19 04:30:00 PM,28.816,,,,
112,05/15/19 04:45:00 PM,28.791,,,,
113,05/15/19 05:00:00 PM,28.791,,,,
114,05/15/19 05:15:00 PM,28.766,,,,
115,05/15/19 05:30:00 PM,28.742,,,,
116,05/15/19 05:45:00 PM,28.717,,,,
117,05/15/19 06:00:00 PM,28.692,,,,
118,05/15/19 06:15:00 PM,28.667,,,,
119,05/15/19 06:30:00 PM,28.667,,,,
120,05/15/19 06:45:00 PM,28.642,,,,
